Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5
Solstice Boots (Majestic),1862324869,"""6917529101529553925""",,Legendary,Leg Armor,,Warlock,750,Solar Energy Capacity,5,Vault,true,false,2,7,,N/A,N/A,10,2,10,6,2,16,46,10,2,10,6,2,16,46,,,Upgrade Armor*,Remove Armor Glow*,,,,
Iron Will Vest,1058936857,"""6917529115986938266""",,Legendary,Chest Armor,ironbanner,Hunter,949,Void Energy Capacity,7,Vault,true,false,3,8,,N/A,N/A,8,6,14,20,2,17,67,8,6,14,20,2,7,57,undying,Discipline + recovery,Strength Mod*,Grenade Launcher Reserves*,Polished Sea Stone*,Upgrade Armor*,,
Iron Will Mask,1098138990,"""6917529116559026635""",,Legendary,Helmet,ironbanner,Hunter,950,Void Energy Capacity,8,Vault,true,false,3,8,,N/A,N/A,7,18,15,6,14,8,68,7,8,15,6,14,8,58,undying,General:Resilience,Resilience Mod*,Special Ammo Finder*,Polished Sea Stone*,Upgrade Armor*,Frostveil Mask*,
Notorious Invader Gloves,3088740176,"""6917529146096289283""",,Legendary,Gauntlets,,Warlock,960,Void Energy Capacity,3,Vault,false,false,2,6,,N/A,N/A,12,6,14,9,14,6,61,12,6,14,9,14,6,61,,,Invader +3*,Upgrade Armor*,,,,
Swordflight 4.1,1904811766,"""6917529134885948400""",keep,Legendary,Chest Armor,,Hunter,950,Solar Energy Capacity,4,Vault,false,false,1,1,,N/A,N/A,2,7,20,6,8,12,55,2,7,20,6,8,12,55,undying,,Upgrade Armor*,,,,,
Prodigal Mask,144651852,"""6917529129260183542""",,Legendary,Helmet,,Hunter,950,Arc Energy Capacity,1,Vault,true,false,2,4,,N/A,N/A,2,21,7,2,7,18,57,2,21,7,2,7,18,57,,,Upgrade Armor*,,,,,
Prodigal Grasps,3593916933,"""6917529139580439458""",,Legendary,Gauntlets,,Hunter,960,Solar Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,8,6,12,20,6,2,54,8,6,12,20,6,2,54,,,Upgrade Armor*,,,,,
Iron Will Boots,1469050017,"""6917529115986938678""",,Legendary,Leg Armor,ironbanner,Hunter,949,Solar Energy Capacity,7,Vault,true,false,3,8,,N/A,N/A,7,7,19,6,6,20,65,2,7,19,6,6,20,60,undying,Recovery + strength,Paragon Mod*,Traction*,Gambit Celadon*,Upgrade Armor*,,
Boots of Ascendancy,3824429433,"""6917529141175365513""",,Legendary,Leg Armor,garden,Warlock,957,Arc Energy Capacity,2,Vault,false,false,3,8,,N/A,N/A,8,12,7,15,7,6,55,8,12,7,15,7,6,55,undying,,Upgrade Armor*,,,,,
Fr0st-EE5,609852545,"""6917529119256748071""",,Exotic,Leg Armor,,Hunter,930,Arc Energy Capacity,3,Vault,true,false,1,3,,N/A,N/A,18,2,6,6,6,20,58,18,2,6,6,6,10,48,,,Strength Mod*,Rapid Cooldown*,Warbrick*,Upgrade Armor*,,
Iron Will Sleeves,2547799775,"""6917529115175572651""",,Legendary,Gauntlets,ironbanner,Hunter,950,Arc Energy Capacity,10,Vault,true,false,3,8,,N/A,N/A,14,12,21,12,11,11,81,2,10,19,10,9,9,59,undying,PvP St0mp REC:Mobility?,Mobility Mod*,Enhanced Shotgun Loader*,Gambit Celadon*,Upgrade Armor*,,
War Mantis,803939997,"""6917529118221967123""",,Rare,Gauntlets,,Hunter,950,Solar Energy Capacity,5,Vault,true,false,2,4,,N/A,N/A,29,13,8,0,0,0,50,29,13,8,0,0,0,50,,,Upgrade Armor*,,,,,
Substitutional Alloy Grips,4026120125,"""6917529112690770540""",,Legendary,Gauntlets,seasonpass,Hunter,950,Arc Energy Capacity,2,Vault,true,false,3,8,,N/A,N/A,2,22,2,6,7,12,51,2,22,2,6,7,12,51,undying,Resilience,Upgrade Armor*,,,,,
Notorious Collector Boots,1438999856,"""6917529146083939115""",,Legendary,Leg Armor,,Warlock,960,Arc Energy Capacity,1,Vault,false,false,2,6,,N/A,N/A,16,6,6,7,2,22,59,16,6,6,7,2,22,59,,,Collector +3*,Upgrade Armor*,,,,
Tangled Web Boots,1367655773,"""6917529127102666970""",,Legendary,Leg Armor,,Warlock,950,Void Energy Capacity,7,Vault,true,false,2,4,,N/A,N/A,8,6,26,8,13,6,67,8,6,16,8,13,6,57,,,Recovery Mod*,Sniper Rifle Scavenger*,Melchizedek Bramble*,Upgrade Armor*,Legs of Optimacy*,
Celestial Nighthawk,1321354573,"""6917529130724585748""",,Exotic,Helmet,,Hunter,955,Arc Energy Capacity,1,Vault,false,false,1,1,,N/A,N/A,8,12,9,15,6,6,56,8,12,9,15,6,6,56,,,Hawkeye Hack*,Upgrade Armor*,,,,
Tangled Web Hood,553373026,"""6917529147424853313""",,Legendary,Helmet,,Warlock,960,Solar Energy Capacity,3,Vault,true,false,2,4,,N/A,N/A,2,2,22,10,8,9,53,2,2,22,10,8,9,53,,,Upgrade Armor*,,,,,
Raiden Flux,2766109872,"""6917529135209361167""",,Exotic,Chest Armor,,Hunter,958,Arc Energy Capacity,2,Vault,false,false,1,1,,N/A,N/A,11,14,6,21,2,6,60,11,14,6,21,2,6,60,,,Synapse Junctions*,Upgrade Armor*,,,,
Mimetic Savior Gauntlets,655964556,"""6917529146488058548""",junk,Legendary,Gauntlets,,Titan,962,Solar Energy Capacity,2,Vault,false,false,2,4,,N/A,N/A,6,12,8,2,6,19,53,6,12,8,2,6,19,53,,,Upgrade Armor*,,,,,
Orpheus Rig,193869523,"""6917529136304380082""",,Exotic,Leg Armor,,Hunter,950,Void Energy Capacity,3,Vault,false,false,1,1,,N/A,N/A,23,6,2,14,9,6,60,23,6,2,14,9,6,60,,,Uncanny Arrows*,Upgrade Armor*,,,,
Swordflight 4.1,1904811766,"""6917529110374509071""",,Legendary,Chest Armor,,Hunter,950,Solar Energy Capacity,6,Vault,true,false,1,1,,N/A,N/A,2,8,17,26,2,8,63,2,8,17,16,2,8,53,undying,,Discipline Mod*,Enhanced Relay Defender*,Gambit Emerald*,Upgrade Armor*,Vest of Optimacy*,
Red Moon Phantom Steps,1213841242,"""6917529119262963618""",,Legendary,Leg Armor,,Hunter,947,Arc Energy Capacity,1,Vault,true,false,2,4,,N/A,N/A,11,13,2,2,2,22,52,11,13,2,2,2,22,52,,,Upgrade Armor*,,,,,
Gwisin Vest,1474735276,"""6917529117097046654""",,Exotic,Chest Armor,,Hunter,930,Solar Energy Capacity,9,Vault,true,false,2,4,,N/A,N/A,12,7,16,6,12,6,59,12,7,6,6,12,6,49,,Collections,Recovery Mod*,Unflinching Rifle Aim*,Roving Assassin*,Upgrade Armor*,Eerie Breeze*,
Thorium Holt Boots,1148805553,"""6917529147385518471""",junk,Legendary,Leg Armor,,Warlock,963,Arc Energy Capacity,4,Vault,false,false,2,4,,N/A,N/A,6,2,18,18,7,2,53,6,2,18,18,7,2,53,,,Upgrade Armor*,,,,,
Raiden Flux,2766109872,"""6917529131545953819""",,Exotic,Chest Armor,,Hunter,956,Void Energy Capacity,3,Vault,false,false,1,1,,N/A,N/A,12,12,6,7,2,22,61,12,12,6,7,2,22,61,,,Synapse Junctions*,Upgrade Armor*,,,,
St0mp-EE5,193869520,"""6917529129820654052""",,Exotic,Leg Armor,,Hunter,934,Arc Energy Capacity,9,Vault,true,false,1,1,,N/A,N/A,23,6,12,10,6,6,63,18,6,2,10,6,6,48,,Collections roll. Need better. PvP St0mp Arc RESC:Recovery,Recovery Mod*,Shotgun Scavenger*,Traction*,Hydraulic Boosters*,Coastal Suede*,Upgrade Armor*
Dreambane Gauntlets,925079356,"""6917529145403385166""",junk,Legendary,Gauntlets,moon,Titan,962,Void Energy Capacity,10,Vault,false,false,3,8,,N/A,N/A,10,14,9,8,10,14,65,8,12,7,6,8,12,53,undying,,Upgrade Armor*,,,,,
Prodigal Vest,3434158555,"""6917529111267827104""",,Legendary,Chest Armor,,Hunter,950,Arc Energy Capacity,3,Vault,true,false,2,4,,N/A,N/A,19,2,6,22,2,12,63,19,2,6,12,2,12,53,,Mobility,Discipline Mod*,Upgrade Armor*,,,,
Wing Contender,283188616,"""6917529145060142869""",junk,Legendary,Leg Armor,,Hunter,961,Solar Energy Capacity,1,Vault,false,false,3,9,,N/A,N/A,10,7,6,6,12,7,48,10,7,6,6,12,7,48,dawn,,Crucible Legacy*,Upgrade Armor*,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529129501479600""",,Exotic,Gauntlets,,Hunter,954,Void Energy Capacity,1,Vault,false,false,1,3,,N/A,N/A,22,7,2,13,12,2,58,22,7,2,13,12,2,58,,,Nightmare Fuel*,Upgrade Armor*,,,,
St0mp-EE5,193869520,"""6917529103009810072""",,Exotic,Leg Armor,,Hunter,950,Void Energy Capacity,10,Vault,true,false,1,1,,N/A,N/A,21,14,14,11,8,15,83,14,2,12,9,6,13,56,,"St0mp REC:REC,St0mp RESC:RES",Resilience Mod*,Traction*,Sniper Rifle Scavenger*,Hydraulic Boosters*,Gambit Emerald*,Upgrade Armor*
Sealed Ahamkara Grasps,1688602431,"""6917529129518431914""",,Exotic,Gauntlets,,Hunter,954,Arc Energy Capacity,4,Vault,false,false,1,3,,N/A,N/A,14,8,6,7,20,2,57,14,8,6,7,20,2,57,,,Nightmare Fuel*,Upgrade Armor*,,,,
Tangled Web Mask,3061780015,"""6917529142414618214""",,Legendary,Helmet,,Hunter,961,Solar Energy Capacity,2,Vault,true,false,2,4,,N/A,N/A,6,2,16,23,2,2,51,6,2,16,23,2,2,51,,,Upgrade Armor*,,,,,
Boots of Ascendancy,3824429433,"""6917529141189118670""",,Legendary,Leg Armor,garden,Warlock,958,Solar Energy Capacity,3,Vault,true,false,3,8,,N/A,N/A,15,11,2,8,6,16,58,15,11,2,8,6,16,58,undying,,Upgrade Armor*,,,,,
Swordflight 4.1,2473130418,"""6917529134142025819""",,Legendary,Gauntlets,,Hunter,950,Arc Energy Capacity,4,Vault,false,false,1,1,,N/A,N/A,2,2,23,2,12,13,54,2,2,23,2,12,13,54,undying,,Upgrade Armor*,,,,,
Reverie Dawn Hood,998096007,"""6917529135792138223""",,Legendary,Helmet,,Warlock,950,Void Energy Capacity,3,Vault,true,false,2,4,,N/A,N/A,12,7,8,13,6,6,52,12,7,8,13,6,6,52,outlaw,,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,,
Lucky Raspberry,903984858,"""6917529114231634913""",,Exotic,Chest Armor,,Hunter,950,Arc Energy Capacity,2,Vault,false,false,1,1,,N/A,N/A,4,13,14,9,6,16,62,4,13,14,9,6,16,62,,,Probability Matrix*,Upgrade Armor*,,,,
Reverie Dawn Gloves,3239662350,"""6917529139233937836""",,Legendary,Gauntlets,,Warlock,958,Void Energy Capacity,2,Vault,true,false,2,4,,N/A,N/A,23,2,2,12,14,2,55,23,2,2,12,14,2,55,outlaw,,Riven's Curse*,Burnished Dreams*,Upgrade Armor*,,,
Fr0st-EE5,609852545,"""6917529128907794290""",,Exotic,Leg Armor,,Hunter,950,Solar Energy Capacity,3,Vault,true,false,1,3,,N/A,N/A,10,12,7,14,6,7,56,10,12,7,14,6,7,56,,,Rapid Cooldown*,Upgrade Armor*,,,,
Young Ahamkara's Spine,475652357,"""6917529118221970863""",,Exotic,Gauntlets,,Hunter,950,Solar Energy Capacity,3,Vault,true,false,1,1,,N/A,N/A,9,8,15,22,9,12,75,9,8,15,12,9,12,65,,,Discipline Mod*,Wish-Dragon Teeth*,Upgrade Armor*,,,
Thorium Holt Hood,1728789982,"""6917529113179540355""",,Legendary,Helmet,,Warlock,950,Solar Energy Capacity,1,Vault,true,false,2,4,,N/A,N/A,2,10,11,2,2,24,51,2,10,11,2,2,24,51,,Strength,Upgrade Armor*,,,,,
Wing Contender,2070517134,"""6917529146793742472""",junk,Legendary,Gauntlets,,Hunter,962,Void Energy Capacity,5,Vault,false,false,3,9,,N/A,N/A,7,10,7,2,22,2,50,7,10,7,2,22,2,50,dawn,,Crucible Legacy*,Upgrade Armor*,,,,
Iron Will Sleeves,2547799775,"""6917529133075970201""",,Legendary,Gauntlets,ironbanner,Hunter,950,Void Energy Capacity,1,Vault,true,false,3,8,,N/A,N/A,7,7,15,12,13,2,56,7,7,15,12,13,2,56,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Notorious Sentry Strides,3166483971,"""6917529129346443034""",,Legendary,Leg Armor,,Hunter,950,Solar Energy Capacity,1,Vault,false,false,2,6,,N/A,N/A,11,9,9,19,7,2,57,11,9,9,19,7,2,57,,,Sentry +3*,Upgrade Armor*,,,,
Notorious Collector Grips,264182643,"""6917529129121262872""",,Legendary,Gauntlets,,Hunter,950,Solar Energy Capacity,5,Vault,true,false,2,6,,N/A,N/A,2,10,24,9,14,6,65,2,10,14,9,14,6,55,,Unique,Recovery Mod*,Collector +3*,Upgrade Armor*,,,
Dreambane Robes,3692187003,"""6917529145403384547""",junk,Legendary,Chest Armor,moon,Warlock,963,Solar Energy Capacity,10,Vault,true,false,3,8,,N/A,N/A,8,9,14,19,10,4,64,6,7,12,17,8,2,52,undying,,Upgrade Armor*,,,,,
Dreambane Vest,883769696,"""6917529145403386729""",junk,Legendary,Chest Armor,moon,Hunter,963,Solar Energy Capacity,10,Vault,true,false,3,8,,N/A,N/A,13,8,8,14,10,9,62,11,6,6,12,8,7,50,undying,,Upgrade Armor*,,,,,
Thorium Holt Gloves,532728591,"""6917529126898613913""",,Legendary,Gauntlets,,Warlock,950,Arc Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,12,6,8,2,22,2,52,12,6,8,2,22,2,52,,,Upgrade Armor*,,,,,
Iron Will Sleeves,2547799775,"""6917529133063586448""",,Legendary,Gauntlets,ironbanner,Hunter,950,Void Energy Capacity,2,Vault,true,false,3,8,,N/A,N/A,9,6,13,13,9,10,60,9,6,13,13,9,10,60,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Righteous Cloak,940065571,"""6917529142448186726""",junk,Legendary,Hunter Cloak,seasonpass,Hunter,961,Void Energy Capacity,6,Vault,false,false,3,9,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dawn,,Upgrade Armor*,,,,,
Iron Will Sleeves,2547799775,"""6917529127472310515""",,Legendary,Gauntlets,ironbanner,Hunter,950,Void Energy Capacity,3,Vault,true,false,3,8,,N/A,N/A,24,16,2,11,8,7,68,14,16,2,11,8,7,58,undying,,Mobility Mod*,Iron Mossbone*,Upgrade Armor*,,,
Tangled Web Gloves,4146408011,"""6917529126914655868""",,Legendary,Gauntlets,,Warlock,949,Solar Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,13,2,12,6,2,18,53,13,2,12,6,2,18,53,,,Upgrade Armor*,,,,,
Robes of Transcendence,2320830625,"""6917529131885203926""",,Legendary,Chest Armor,garden,Warlock,957,Arc Energy Capacity,3,Vault,false,false,3,8,,N/A,N/A,19,8,2,8,10,8,55,19,8,2,8,10,8,55,undying,,Upgrade Armor*,,,,,
Mimetic Savior Plate,639670612,"""6917529146499637274""",junk,Legendary,Chest Armor,,Titan,962,Void Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,7,7,13,12,6,6,51,7,7,13,12,6,6,51,,,Upgrade Armor*,,,,,
St0mp-EE5,193869520,"""6917529131042652628""",,Exotic,Leg Armor,,Hunter,955,Solar Energy Capacity,3,Vault,true,false,1,1,,N/A,N/A,16,2,11,13,12,2,56,16,2,11,13,12,2,56,,,Hydraulic Boosters*,Upgrade Armor*,,,,
Iron Will Sleeves,2547799775,"""6917529115986936935""",,Legendary,Gauntlets,ironbanner,Hunter,949,Arc Energy Capacity,5,Vault,true,false,3,8,,N/A,N/A,15,2,22,6,13,6,64,15,2,12,6,13,6,54,undying,,Recovery Mod*,Fright Night*,Upgrade Armor*,Dragonfly Regalia Grasps*,,
Iron Truage Gloves,3791686334,"""6917529145678956485""",junk,Legendary,Gauntlets,,Warlock,964,Solar Energy Capacity,4,Vault,false,false,3,9,,N/A,N/A,14,6,7,13,7,8,55,14,6,7,13,7,8,55,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Lunafaction Boots,4136768282,"""6917529146905573782""",,Exotic,Leg Armor,,Warlock,963,Void Energy Capacity,2,Vault,true,false,1,1,,N/A,N/A,7,13,9,18,9,2,58,7,13,9,18,9,2,58,,,Alchemical Etchings*,Upgrade Armor*,,,,
The Dragon's Shadow,2766109874,"""6917529103587838682""",,Exotic,Chest Armor,,Hunter,916,Solar Energy Capacity,8,Vault,false,false,1,1,,N/A,N/A,3,13,15,14,6,6,57,3,13,15,14,6,6,57,,,Paragon Mod*,Auto Rifle Reserves*,Submachine Gun Reserves*,Wraithmetal Mail*,Upgrade Armor*,
Cowl of Righteousness,557676195,"""6917529119942054240""",,Legendary,Helmet,garden,Hunter,952,Solar Energy Capacity,2,Vault,false,false,3,8,,N/A,N/A,9,10,9,9,9,11,57,9,10,9,9,9,11,57,undying,,Upgrade Armor*,,,,,
Cowl of Righteousness,557676195,"""6917529119935766673""",,Legendary,Helmet,garden,Hunter,950,Void Energy Capacity,2,Vault,false,false,3,8,,N/A,N/A,8,8,14,15,6,6,57,8,8,14,15,6,6,57,undying,,Upgrade Armor*,,,,,
Swordflight 4.1,3298826188,"""6917529120291953848""",,Legendary,Leg Armor,,Hunter,951,Void Energy Capacity,2,Vault,false,false,1,1,,N/A,N/A,16,2,6,2,8,18,52,16,2,6,2,8,18,52,undying,,Upgrade Armor*,,,,,
Notorious Reaper Grips,3533064929,"""6917529142501224846""",,Legendary,Gauntlets,,Hunter,959,Solar Energy Capacity,1,Vault,false,false,2,6,,N/A,N/A,8,8,13,2,8,18,57,8,8,13,2,8,18,57,,,Reaper +3*,Upgrade Armor*,,,,
Wing Theorem,2525395257,"""6917529145466753074""",,Legendary,Chest Armor,,Warlock,961,Solar Energy Capacity,1,Vault,false,false,3,9,,N/A,N/A,6,13,12,7,11,7,56,6,13,12,7,11,7,56,dawn,,Crucible Legacy*,Upgrade Armor*,,,,
War Mantis,803939997,"""6917529145420545120""",,Rare,Gauntlets,,Hunter,960,Arc Energy Capacity,5,Vault,true,false,2,4,,N/A,N/A,4,34,13,0,0,0,51,4,34,13,0,0,0,51,,,Upgrade Armor*,,,,,
Prodigal Mask,144651852,"""6917529132774293365""",,Legendary,Helmet,,Hunter,950,Void Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,2,16,7,2,6,23,56,2,16,7,2,6,23,56,,,Upgrade Armor*,,,,,
Iron Will Bond,3055410141,"""6917529134571754467""",,Legendary,Warlock Bond,ironbanner,Warlock,950,Void Energy Capacity,6,Vault,true,false,3,8,,N/A,N/A,0,10,0,0,0,0,10,0,10,0,0,0,0,10,undying,,Resilience Mod*,Remote Connection*,Melchizedek Bramble*,Upgrade Armor*,Bond of Optimacy*,
Substitutional Alloy Grips,4026120125,"""6917529117126414977""",,Legendary,Gauntlets,seasonpass,Hunter,948,Arc Energy Capacity,5,Vault,true,false,3,8,,N/A,N/A,2,2,23,8,7,10,52,2,2,23,8,7,10,52,undying,Recovery,Paragon Mod*,Upgrade Armor*,,,,
Grips of Exaltation,1653741426,"""6917529119942053555""",,Legendary,Gauntlets,garden,Hunter,951,Solar Energy Capacity,3,Vault,false,false,3,8,,N/A,N/A,2,14,13,8,8,11,56,2,14,13,8,8,11,56,undying,,Upgrade Armor*,,,,,
Iron Will Gloves,863444264,"""6917529134571761157""",,Legendary,Gauntlets,ironbanner,Warlock,950,Void Energy Capacity,4,Vault,true,false,3,8,,N/A,N/A,13,9,6,12,2,13,55,13,9,6,12,2,13,55,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Iron Will Steps,1498852482,"""6917529134571756632""",,Legendary,Leg Armor,ironbanner,Warlock,950,Void Energy Capacity,2,Vault,true,false,3,8,,N/A,N/A,7,14,9,14,14,2,60,7,14,9,14,14,2,60,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Ophidia Spathe,978537162,"""6917529129886084640""",,Exotic,Chest Armor,,Hunter,954,Void Energy Capacity,4,Vault,false,false,1,3,,N/A,N/A,11,7,14,2,14,13,61,11,7,14,2,14,13,61,,,Paragon Mod*,Scissor Fingers*,Upgrade Armor*,,,
Iron Will Vestments,4128151712,"""6917529134505018716""",,Legendary,Chest Armor,ironbanner,Warlock,950,Void Energy Capacity,1,Vault,false,false,3,8,,N/A,N/A,13,8,9,6,13,8,57,13,8,9,6,13,8,57,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Oathkeeper,691578978,"""6917529109768620099""",,Exotic,Gauntlets,,Hunter,950,Arc Energy Capacity,4,Vault,false,false,2,4,,N/A,N/A,8,2,29,6,7,15,67,8,2,19,6,7,15,57,,,Recovery Mod*,Adamantine Brace*,Polished Sea Stone*,Upgrade Armor*,,
Vest of the Great Hunt,2868042232,"""6917529120324726412""",,Legendary,Chest Armor,,Hunter,950,Void Energy Capacity,2,Vault,false,false,2,4,,N/A,N/A,12,10,8,15,6,7,58,12,10,8,15,6,7,58,outlaw,,Upgrade Armor*,,,,,
Prodigal Gloves,3386676796,"""6917529127080016164""",,Legendary,Gauntlets,,Warlock,950,Void Energy Capacity,2,Vault,false,false,2,4,,N/A,N/A,2,13,12,19,6,2,54,2,13,12,19,6,2,54,,,Upgrade Armor*,,,,,
Dreambane Plate,2568538788,"""6917529102792171714""",,Legendary,Chest Armor,moon,Titan,914,Void Energy Capacity,3,Vault,true,false,3,8,,N/A,N/A,7,11,6,2,12,12,50,7,11,6,2,12,12,50,undying,Unique,Upgrade Armor*,,,,,
War Mantis,803939997,"""6917529117091300849""",,Rare,Gauntlets,,Hunter,948,Arc Energy Capacity,6,Vault,true,false,2,4,,N/A,N/A,13,29,8,0,10,0,60,13,29,8,0,10,0,60,,Resilience,Intellect Mod*,Upgrade Armor*,,,,
Iron Will Boots,1469050017,"""6917529115986934603""",,Legendary,Leg Armor,ironbanner,Hunter,949,Arc Energy Capacity,7,Vault,true,false,3,8,,N/A,N/A,7,14,23,8,20,2,74,2,14,13,8,20,2,59,undying,Intellect + recovery,Recovery Mod*,Traction*,Polished Sea Stone*,Upgrade Armor*,Intrepid Discovery Strides*,
Iron Will Sleeves,2547799775,"""6917529135186748761""",,Legendary,Gauntlets,ironbanner,Hunter,950,Solar Energy Capacity,1,Vault,true,false,3,8,,N/A,N/A,6,8,14,15,2,11,56,6,8,14,15,2,11,56,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Notorious Sentry Grips,4245233853,"""6917529129329331191""",,Legendary,Gauntlets,,Hunter,950,Void Energy Capacity,3,Vault,false,false,2,6,,N/A,N/A,8,18,2,8,18,2,56,8,18,2,8,18,2,56,,,Sentry +3*,Upgrade Armor*,,,,
Iron Will Mask,1098138990,"""6917529127472303001""",,Legendary,Helmet,ironbanner,Hunter,950,Void Energy Capacity,1,Vault,false,false,3,8,,N/A,N/A,9,13,6,10,2,18,58,9,13,6,10,2,18,58,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Notorious Sentry Mask,3220030412,"""6917529129335043839""",,Legendary,Helmet,,Hunter,950,Solar Energy Capacity,2,Vault,false,false,2,6,,N/A,N/A,8,12,7,7,16,6,56,8,12,7,7,16,6,56,,,Sentry +3*,Upgrade Armor*,,,,
Iron Will Vest,1058936857,"""6917529115175574809""",keep,Legendary,Chest Armor,ironbanner,Hunter,950,Void Energy Capacity,1,Vault,true,false,3,8,,N/A,N/A,2,7,20,2,12,12,55,2,7,20,2,12,12,55,undying,Recovery + intellect,Iron Mossbone*,Upgrade Armor*,,,,
Iron Will Mask,1098138990,"""6917529124615321990""",,Legendary,Helmet,ironbanner,Hunter,950,Arc Energy Capacity,1,Vault,true,false,3,8,,N/A,N/A,20,8,2,7,20,2,59,20,8,2,7,20,2,59,undying,,Iron Mossbone*,Upgrade Armor*,,,,
Strides of Ascendancy,2054979724,"""6917529127453968567""",,Legendary,Leg Armor,garden,Hunter,950,Solar Energy Capacity,1,Vault,false,false,3,8,,N/A,N/A,9,12,6,2,13,14,56,9,12,6,2,13,14,56,undying,,Upgrade Armor*,,,,,
Starfire Protocol,2082483156,"""6917529145757100410""",,Exotic,Chest Armor,,Warlock,962,Void Energy Capacity,3,Vault,true,false,1,1,,N/A,N/A,13,13,4,16,6,9,61,13,13,4,16,6,9,61,,,Fusion Harness*,Upgrade Armor*,,,,
Iron Will Boots,1469050017,"""6917529115282706265""",keep,Legendary,Leg Armor,ironbanner,Hunter,951,Solar Energy Capacity,7,Vault,true,false,3,8,,N/A,N/A,13,2,18,14,11,2,60,8,2,18,14,11,2,55,undying,Recovery + intellect,Paragon Mod*,Traction*,Polished Sea Stone*,Upgrade Armor*,,
Eye of Another World,3381022970,"""6917529146893271916""",,Exotic,Helmet,,Warlock,963,Arc Energy Capacity,3,Vault,false,false,1,1,,N/A,N/A,2,14,14,7,19,2,58,2,14,14,7,19,2,58,,,Cerebral Uplink*,Upgrade Armor*,,,,
Cowl of Righteousness,557676195,"""6917529131030240412""",,Legendary,Helmet,garden,Hunter,950,Arc Energy Capacity,4,Vault,false,false,3,8,,N/A,N/A,18,2,9,7,14,6,56,18,2,9,7,14,6,56,undying,,Upgrade Armor*,,,,,
Iron Truage Legs,4211068696,"""6917529145507926023""",,Legendary,Leg Armor,,Warlock,961,Arc Energy Capacity,3,Vault,false,false,3,9,,N/A,N/A,8,14,6,7,2,20,57,8,14,6,7,2,20,57,dawn,,Iron Fuchsite*,Upgrade Armor*,,,,
Tangled Web Mask,3061780015,"""6917529121479782923""",,Legendary,Helmet,,Hunter,949,Arc Energy Capacity,1,Vault,true,false,2,4,,N/A,N/A,2,2,22,6,11,6,49,2,2,22,6,11,6,49,,,Upgrade Armor*,,,,,
Vest of the Great Hunt,2868042232,"""6917529120324728121""",,Legendary,Chest Armor,,Hunter,950,Void Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,13,2,12,12,12,7,58,13,2,12,12,12,7,58,outlaw,,Upgrade Armor*,,,,,
Iron Will Cloak,2414679508,"""6917529133763342616""",,Legendary,Hunter Cloak,ironbanner,Hunter,959,Void Energy Capacity,1,Vault,true,false,3,8,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undying,Unique void,Iron Mossbone*,Upgrade Armor*,,,,
Prodigal Grasps,3593916933,"""6917529127014953766""",keep,Legendary,Gauntlets,,Hunter,950,Arc Energy Capacity,4,Vault,false,false,2,4,,N/A,N/A,17,2,6,21,7,2,55,17,2,6,21,7,2,55,,,Upgrade Armor*,,,,,
Contraverse Hold,1906093346,"""6917529147147305770""",,Exotic,Gauntlets,,Warlock,943,Void Energy Capacity,1,Vault,false,false,2,4,,N/A,N/A,6,6,12,12,6,6,48,6,6,12,12,6,6,48,,,Chaotic Exchanger*,Upgrade Armor*,,,,
Prodigal Strides,3516789127,"""6917529123466371776""",,Legendary,Leg Armor,,Hunter,950,Arc Energy Capacity,3,Vault,true,false,2,4,,N/A,N/A,14,2,16,2,22,2,58,14,2,16,2,22,2,58,,,Upgrade Armor*,,,,,
Righteous Cloak,940065571,"""6917529142448185922""",,Legendary,Hunter Cloak,seasonpass,Hunter,958,Void Energy Capacity,3,Vault,false,false,3,9,,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dawn,,Upgrade Armor*,,,,,
